file_id;noun;adj;propn;adv;intj;cconj;sconj;adp;det;num;punct;symbol;pron;abbr;nominals;TTR;avg_word_len;avr_sent_len;hapax_legomena;pron/noun_ratio;see_pron;see_det;1st_pron_sg;2nd_pron_sg;3rd_pron_sg;1st_pron_pl;2nd_pron_pl;3rd_pron_pl;nominalisation;mine_derivation;active_voice;passive_voice;1st_prs_verb;2nd_prs_verb;3rd_prs_verb;core_verb;verbtype_ratio;da_inf;inf_verb;finite_verb;gerund;supine;verb_particle;discourse;pres_tense;past_tense;ind_mood;cond_mood;imp_mood;quot_mood;neg_polarity;nom_case;gen_case;part_case;ill_case;ine_case;ela_case;alla_case;ade_case;abl_case;tra_case;ter_case;ess_case;abe_case;com_case;nsubj;nsubj_cop;modal;acl:relc;csubj;csubj_cop;obj;ccomp;xcomp;obl;nmod;appos;nummod;amod;advcl;voc;cop;conj;cc;yneemid
arhiiv_koolielu_ee.ela_481254;0.2754491017964072;0.08383233532934131;0.0;0.10179640718562874;0.0;0.04790419161676647;0.023952095808383235;0.017964071856287425;0.023952095808383235;0.0;0.16167664670658682;0.0;0.05389221556886228;0.005988023952095809;0.41317365269461076;0.592814371257485;5.089820359281437;16.7;0.48502994011976047;0.1956521739130435;0.005988023952095809;0.011976047904191617;0.0;0.0;0.0;0.005988023952095809;0.005988023952095809;0.005988023952095809;0.005988023952095809;0.03592814371257485;0.1437125748502994;0.017964071856287425;0.005988023952095809;0.005988023952095809;0.059880239520958084;0.017964071856287425;1.2666666666666666;0.041916167664670656;0.08982035928143713;0.11377245508982035;0.0;0.017964071856287425;0.029940119760479042;0.0;0.1317365269461078;0.011976047904191617;0.10179640718562874;0.011976047904191617;0.0;0.0;0.041916167664670656;0.17964071856287425;0.05389221556886228;0.059880239520958084;0.011976047904191617;0.05389221556886228;0.017964071856287425;0.0;0.029940119760479042;0.005988023952095809;0.0;0.0;0.0;0.005988023952095809;0.017964071856287425;0.04790419161676647;0.03592814371257485;0.041916167664670656;0.0;0.0;0.0;0.03592814371257485;0.059880239520958084;0.017964071856287425;0.08982035928143713;0.04790419161676647;0.0;0.0;0.041916167664670656;0.029940119760479042;0.0;0.03592814371257485;0.09580838323353294;0.04790419161676647;0.0
et_wikipedia_org.ela_519819;0.3577981651376147;0.07339449541284404;0.01834862385321101;0.05504587155963303;0.0;0.03669724770642202;0.01834862385321101;0.01834862385321101;0.03669724770642202;0.01834862385321101;0.1651376146788991;0.0;0.045871559633027525;0.009174311926605505;0.4954128440366973;0.6330275229357798;6.238532110091743;15.57;0.5321100917431193;0.1282051282051282;0.0;0.0;0.0;0.0;0.009174311926605505;0.0;0.0;0.0;0.027522935779816515;0.027522935779816515;0.11926605504587157;0.045871559633027525;0.0;0.0;0.08256880733944955;0.027522935779816515;1.375;0.009174311926605505;0.07339449541284404;0.10091743119266056;0.0;0.0;0.06422018348623854;0.0;0.11009174311926606;0.05504587155963303;0.10091743119266056;0.0;0.0;0.0;0.0;0.1743119266055046;0.11009174311926606;0.08256880733944955;0.009174311926605505;0.045871559633027525;0.009174311926605505;0.01834862385321101;0.05504587155963303;0.01834862385321101;0.0;0.0;0.0;0.0;0.01834862385321101;0.03669724770642202;0.009174311926605505;0.0;0.01834862385321101;0.0;0.009174311926605505;0.07339449541284404;0.03669724770642202;0.0;0.05504587155963303;0.14678899082568808;0.009174311926605505;0.0;0.03669724770642202;0.01834862385321101;0.0;0.01834862385321101;0.07339449541284404;0.03669724770642202;0.0
et_wikipedia_org.ela_624820;0.35772357723577236;0.13821138211382114;0.0;0.056910569105691054;0.0;0.024390243902439025;0.032520325203252036;0.032520325203252036;0.032520325203252036;0.0;0.13008130081300814;0.0;0.04878048780487805;0.0;0.5447154471544716;0.5203252032520326;6.699186991869919;17.57;0.36585365853658536;0.13636363636363635;0.024390243902439025;0.008130081300813009;0.0;0.0;0.0;0.0;0.0;0.0;0.016260162601626018;0.0;0.15447154471544716;0.024390243902439025;0.0;0.0;0.08943089430894309;0.0;1.1818181818181819;0.016260162601626018;0.08943089430894309;0.10569105691056911;0.0;0.008130081300813009;0.06504065040650407;0.0;0.15447154471544716;0.016260162601626018;0.10569105691056911;0.0;0.0;0.0;0.008130081300813009;0.16260162601626016;0.14634146341463414;0.10569105691056911;0.008130081300813009;0.024390243902439025;0.008130081300813009;0.016260162601626018;0.04065040650406504;0.0;0.032520325203252036;0.0;0.016260162601626018;0.0;0.008130081300813009;0.04878048780487805;0.04065040650406504;0.024390243902439025;0.008130081300813009;0.0;0.0;0.04878048780487805;0.024390243902439025;0.0;0.12195121951219512;0.08943089430894309;0.0;0.0;0.056910569105691054;0.024390243902439025;0.0;0.04065040650406504;0.04065040650406504;0.024390243902439025;0.0
forte_delfi_ee.ela_222312;0.31213872832369943;0.08092485549132948;0.08670520231213873;0.05202312138728324;0.0;0.03468208092485549;0.046242774566473986;0.011560693641618497;0.011560693641618497;0.017341040462427744;0.14450867052023122;0.0;0.05202312138728324;0.011560693641618497;0.4624277456647399;0.6589595375722543;5.91907514450867;28.83;0.5606936416184971;0.16666666666666666;0.03468208092485549;0.0;0.0;0.0;0.005780346820809248;0.0;0.0;0.0;0.0;0.028901734104046242;0.1676300578034682;0.011560693641618497;0.0;0.0;0.10404624277456648;0.011560693641618497;1.6666666666666667;0.005780346820809248;0.06936416184971098;0.11560693641618497;0.0;0.005780346820809248;0.057803468208092484;0.0;0.1329479768786127;0.04046242774566474;0.10404624277456648;0.011560693641618497;0.0;0.0;0.0;0.15606936416184972;0.17341040462427745;0.09248554913294797;0.011560693641618497;0.005780346820809248;0.0;0.005780346820809248;0.05202312138728324;0.005780346820809248;0.005780346820809248;0.005780346820809248;0.0;0.0;0.03468208092485549;0.08670520231213873;0.017341040462427744;0.005780346820809248;0.005780346820809248;0.0;0.0;0.057803468208092484;0.05202312138728324;0.005780346820809248;0.10404624277456648;0.10982658959537572;0.028901734104046242;0.011560693641618497;0.046242774566473986;0.017341040462427744;0.0;0.011560693641618497;0.05202312138728324;0.03468208092485549;0.0
herba_folklore_ee.ela_93408;0.304;0.136;0.016;0.104;0.0;0.056;0.008;0.016;0.0;0.032;0.24;0.0;0.0;0.016;0.472;0.704;5.648;8.93;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008;0.104;0.0;0.0;0.0;0.072;0.0;1.8;0.008;0.04;0.072;0.0;0.0;0.032;0.0;0.096;0.008;0.072;0.0;0.0;0.0;0.0;0.2;0.048;0.008;0.0;0.048;0.016;0.0;0.096;0.0;0.0;0.008;0.0;0.008;0.008;0.032;0.032;0.008;0.0;0.0;0.0;0.008;0.056;0.0;0.096;0.048;0.0;0.016;0.04;0.008;0.0;0.008;0.152;0.056;0.0
kalah_zzz_ee.ela_52237;0.30158730158730157;0.05555555555555555;0.03968253968253968;0.0873015873015873;0.0;0.047619047619047616;0.023809523809523808;0.007936507936507936;0.031746031746031744;0.007936507936507936;0.20634920634920634;0.0;0.031746031746031744;0.015873015873015872;0.39682539682539675;0.5476190476190477;5.166666666666667;21.0;0.4444444444444444;0.10526315789473684;0.015873015873015872;0.015873015873015872;0.0;0.0;0.007936507936507936;0.007936507936507936;0.0;0.0;0.0;0.015873015873015872;0.12698412698412698;0.0;0.0;0.0;0.07142857142857142;0.007936507936507936;5.0;0.015873015873015872;0.023809523809523808;0.11904761904761904;0.0;0.0;0.007936507936507936;0.0;0.12698412698412698;0.0;0.11904761904761904;0.0;0.0;0.0;0.05555555555555555;0.2222222222222222;0.1111111111111111;0.03968253968253968;0.0;0.031746031746031744;0.03968253968253968;0.0;0.0;0.0;0.007936507936507936;0.0;0.0;0.0;0.007936507936507936;0.047619047619047616;0.05555555555555555;0.023809523809523808;0.0;0.0;0.0;0.031746031746031744;0.047619047619047616;0.015873015873015872;0.047619047619047616;0.11904761904761904;0.007936507936507936;0.0;0.007936507936507936;0.023809523809523808;0.0;0.06349206349206349;0.06349206349206349;0.047619047619047616;0.0
no_spam_ee.ela_2227;0.4530386740331492;0.03314917127071823;0.049723756906077346;0.04419889502762431;0.0;0.027624309392265192;0.022099447513812154;0.022099447513812154;0.0055248618784530384;0.049723756906077346;0.08839779005524862;0.011049723756906077;0.06077348066298342;0.04419889502762431;0.5966850828729281;0.5248618784530387;6.602209944751381;18.1;0.35359116022099446;0.13414634146341461;0.016574585635359115;0.0;0.0;0.0;0.011049723756906077;0.0;0.011049723756906077;0.0;0.0;0.07734806629834254;0.08287292817679558;0.027624309392265192;0.0;0.0;0.049723756906077346;0.011049723756906077;1.1818181818181819;0.016574585635359115;0.06077348066298342;0.0718232044198895;0.0055248618784530384;0.0;0.03867403314917127;0.0;0.06629834254143646;0.04419889502762431;0.06629834254143646;0.0055248618784530384;0.0;0.0;0.016574585635359115;0.13812154696132597;0.2541436464088398;0.055248618784530384;0.0;0.0;0.016574585635359115;0.03314917127071823;0.07734806629834254;0.0;0.0055248618784530384;0.0;0.0055248618784530384;0.0055248618784530384;0.0055248618784530384;0.03314917127071823;0.011049723756906077;0.022099447513812154;0.0;0.0;0.0;0.055248618784530384;0.03867403314917127;0.0;0.10497237569060773;0.281767955801105;0.022099447513812154;0.04419889502762431;0.022099447513812154;0.016574585635359115;0.0;0.011049723756906077;0.049723756906077346;0.027624309392265192;0.0
static_inimene_ee.ela_194968;0.37142857142857144;0.07857142857142857;0.0;0.05;0.0;0.1;0.02142857142857143;0.05;0.014285714285714285;0.0;0.12857142857142856;0.0;0.02142857142857143;0.0;0.4714285714285714;0.45714285714285713;6.45;17.5;0.2642857142857143;0.05769230769230769;0.014285714285714285;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014285714285714285;0.15714285714285714;0.007142857142857143;0.0;0.0;0.1357142857142857;0.007142857142857143;2.375;0.02142857142857143;0.05714285714285714;0.1357142857142857;0.007142857142857143;0.0;0.02857142857142857;0.0;0.15714285714285714;0.007142857142857143;0.1357142857142857;0.0;0.0;0.0;0.0;0.20714285714285716;0.21428571428571427;0.007142857142857143;0.007142857142857143;0.02142857142857143;0.0;0.0;0.014285714285714285;0.0;0.0;0.0;0.0;0.0;0.007142857142857143;0.1;0.02142857142857143;0.007142857142857143;0.007142857142857143;0.0;0.0;0.014285714285714285;0.1;0.0;0.05714285714285714;0.1357142857142857;0.0;0.0;0.02857142857142857;0.02857142857142857;0.0;0.03571428571428571;0.12857142857142856;0.1;0.0
valitsus_ee.ela_132104;0.45185185185185184;0.11851851851851852;0.02962962962962963;0.02962962962962963;0.0;0.06666666666666667;0.007407407407407408;0.007407407407407408;0.014814814814814815;0.0;0.11851851851851852;0.0;0.037037037037037035;0.0;0.6074074074074074;0.6666666666666666;7.770370370370371;19.29;0.5481481481481482;0.08196721311475409;0.014814814814814815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07407407407407407;0.1111111111111111;0.05185185185185185;0.0;0.0;0.05185185185185185;0.0;0.5882352941176471;0.02962962962962963;0.1259259259259259;0.07407407407407407;0.007407407407407408;0.0;0.08888888888888889;0.0;0.13333333333333333;0.02962962962962963;0.07407407407407407;0.0;0.0;0.0;0.0;0.0962962962962963;0.2814814814814815;0.11851851851851852;0.0;0.044444444444444446;0.022222222222222223;0.014814814814814815;0.007407407407407408;0.007407407407407408;0.007407407407407408;0.0;0.0;0.0;0.02962962962962963;0.037037037037037035;0.007407407407407408;0.0;0.022222222222222223;0.0;0.0;0.1111111111111111;0.06666666666666667;0.014814814814814815;0.08148148148148149;0.2;0.0;0.0;0.037037037037037035;0.0;0.0;0.007407407407407408;0.0962962962962963;0.06666666666666667;0.0
valitsus_ee.ela_604239;0.34782608695652173;0.11462450592885376;0.1383399209486166;0.05138339920948617;0.0;0.06719367588932806;0.007905138339920948;0.019762845849802372;0.007905138339920948;0.0;0.11462450592885376;0.0;0.015810276679841896;0.05928853754940711;0.4782608695652174;0.549407114624506;7.557312252964427;19.46;0.4268774703557312;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011857707509881422;0.06324110671936758;0.09881422924901186;0.023715415019762844;0.0;0.0;0.06324110671936758;0.011857707509881422;1.1176470588235294;0.019762845849802372;0.06719367588932806;0.07509881422924901;0.0;0.003952569169960474;0.043478260869565216;0.0;0.09090909090909091;0.02766798418972332;0.07114624505928854;0.003952569169960474;0.0;0.0;0.0;0.1422924901185771;0.2766798418972332;0.07905138339920949;0.0;0.05533596837944664;0.003952569169960474;0.007905138339920948;0.003952569169960474;0.0;0.02766798418972332;0.0;0.0;0.0;0.011857707509881422;0.043478260869565216;0.011857707509881422;0.0;0.007905138339920948;0.0;0.003952569169960474;0.07114624505928854;0.07114624505928854;0.0;0.07114624505928854;0.23715415019762845;0.0;0.0;0.06719367588932806;0.007905138339920948;0.0;0.015810276679841896;0.08695652173913043;0.06719367588932806;0.0
