file_id;noun;adj;propn;adv;intj;cconj;sconj;adp;det;num;punct;symbol;pron;abbr;TTR;avg_word_len;avr_sent_len;hapax_legomena;coref;see_pron;see_det;1st_pron;2nd_pron;3rd_pron;active_voice;passive_voice;1st_prs_verb;2nd_prs_verb;3rd_prs_verb;core_verb;verbtype_ratio;da_inf;gerund;supine;verb_particle;discourse;pres_tense;past_tense;ind_mood;cond_mood;imp_mood;quot_mood;neg_polarity;nom_case;gen_case;part_case;ill_case;ine_case;ela_case;alla_case;ade_case;abl_case;tra_case;ter_case;ess_case;abe_case;com_case;nsubj;nsubj_cop;modal;acl:relc;csubj;csubj_cop;obj;ccomp;xcomp;obl;nmod;appos;nummod;amod;advcl;voc;cop;conj;cc;yneemid;emoticons
www_le_ee.ela_240831;0.30158730158730157;0.047619047619047616;0.07142857142857142;0.031746031746031744;0.0;0.05555555555555555;0.023809523809523808;0.031746031746031744;0.015873015873015872;0.05555555555555555;0.12698412698412698;0.0;0.047619047619047616;0.015873015873015872;0.7301587301587301;5.2063492063492065;18.0;0.5476190476190477;0.15789473684210525;0.015873015873015872;0.0;0.007936507936507936;0.0;0.007936507936507936;0.18253968253968253;0.007936507936507936;0.0;0.0;0.11904761904761904;0.09523809523809523;2.5714285714285716;0.007936507936507936;0.0;0.007936507936507936;0.03968253968253968;0.0;0.03968253968253968;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.015873015873015872;0.18253968253968253;0.1984126984126984;0.031746031746031744;0.0;0.023809523809523808;0.031746031746031744;0.015873015873015872;0.015873015873015872;0.0;0.0;0.0;0.0;0.0;0.0;0.0873015873015873;0.015873015873015872;0.03968253968253968;0.0;0.007936507936507936;0.0;0.06349206349206349;0.07142857142857142;0.007936507936507936;0.09523809523809523;0.10317460317460317;0.015873015873015872;0.03968253968253968;0.031746031746031744;0.0;0.0;0.015873015873015872;0.07142857142857142;0.05555555555555555;0.0;0.0
www_vsport_ee.ela_120496;0.236;0.06;0.104;0.084;0.0;0.04;0.0;0.016;0.012;0.144;0.164;0.0;0.004;0.0;0.624;4.712;16.67;0.384;0.01694915254237288;0.0;0.0;0.0;0.0;0.004;0.1;0.036;0.0;0.0;0.088;0.056;3.111111111111111;0.012;0.0;0.008;0.016;0.0;0.004;0.124;0.112;0.0;0.0;0.0;0.0;0.22;0.124;0.02;0.008;0.012;0.0;0.024;0.044;0.0;0.016;0.008;0.0;0.0;0.004;0.056;0.012;0.004;0.0;0.004;0.0;0.052;0.04;0.02;0.12;0.076;0.008;0.028;0.044;0.0;0.0;0.012;0.068;0.04;0.0;0.0
www_nami-nami_ee.ela_173054;0.2975206611570248;0.06611570247933884;0.01652892561983471;0.09090909090909091;0.0;0.0743801652892562;0.03305785123966942;0.024793388429752067;0.0;0.024793388429752067;0.15702479338842976;0.0;0.008264462809917356;0.0;0.6694214876033058;5.115702479338843;10.08;0.4462809917355372;0.027777777777777776;0.008264462809917356;0.0;0.0;0.0;0.0;0.19008264462809918;0.01652892561983471;0.0;0.15702479338842976;0.03305785123966942;0.049586776859504134;5.75;0.008264462809917356;0.008264462809917356;0.0;0.01652892561983471;0.0;0.18181818181818182;0.024793388429752067;0.04132231404958678;0.0;0.1487603305785124;0.0;0.0;0.17355371900826447;0.04132231404958678;0.04132231404958678;0.008264462809917356;0.024793388429752067;0.0;0.0;0.03305785123966942;0.008264462809917356;0.01652892561983471;0.024793388429752067;0.0;0.0;0.01652892561983471;0.01652892561983471;0.01652892561983471;0.0;0.0;0.0;0.0;0.09917355371900827;0.0743801652892562;0.01652892561983471;0.14049586776859505;0.0;0.0;0.024793388429752067;0.03305785123966942;0.04132231404958678;0.0;0.01652892561983471;0.09917355371900827;0.0743801652892562;0.0;0.0
www_syndikaat_ee.ela_469373;0.18518518518518517;0.06878306878306878;0.037037037037037035;0.06878306878306878;0.0;0.042328042328042326;0.026455026455026454;0.005291005291005291;0.05291005291005291;0.010582010582010581;0.17989417989417988;0.0;0.13756613756613756;0.0;0.6613756613756614;4.560846560846561;14.54;0.3968253968253968;0.7428571428571429;0.026455026455026454;0.015873015873015872;0.06878306878306878;0.0;0.015873015873015872;0.15873015873015872;0.010582010582010581;0.042328042328042326;0.0;0.06878306878306878;0.10582010582010581;2.272727272727273;0.021164021164021163;0.0;0.0;0.037037037037037035;0.0;0.042328042328042326;0.12698412698412698;0.13227513227513227;0.0;0.0;0.0;0.021164021164021163;0.18518518518518517;0.12169312169312169;0.042328042328042326;0.005291005291005291;0.037037037037037035;0.010582010582010581;0.010582010582010581;0.026455026455026454;0.005291005291005291;0.015873015873015872;0.0;0.005291005291005291;0.0;0.010582010582010581;0.0582010582010582;0.047619047619047616;0.042328042328042326;0.015873015873015872;0.0;0.005291005291005291;0.05291005291005291;0.0582010582010582;0.010582010582010581;0.08994708994708994;0.05291005291005291;0.0;0.015873015873015872;0.010582010582010581;0.010582010582010581;0.0;0.05291005291005291;0.047619047619047616;0.042328042328042326;0.0;0.0
www_lounaleht_ee.ela_576969;0.2962962962962963;0.07407407407407407;0.08333333333333333;0.05555555555555555;0.0;0.037037037037037035;0.009259259259259259;0.018518518518518517;0.05555555555555555;0.037037037037037035;0.1574074074074074;0.0;0.027777777777777776;0.0;0.7870370370370371;5.601851851851852;21.6;0.6203703703703703;0.09375;0.0;0.027777777777777776;0.0;0.0;0.0;0.08333333333333333;0.037037037037037035;0.0;0.0;0.07407407407407407;0.05555555555555555;6.5;0.018518518518518517;0.0;0.0;0.0;0.0;0.09259259259259259;0.027777777777777776;0.1111111111111111;0.009259259259259259;0.0;0.0;0.009259259259259259;0.1574074074074074;0.17592592592592593;0.05555555555555555;0.009259259259259259;0.037037037037037035;0.018518518518518517;0.046296296296296294;0.037037037037037035;0.0;0.0;0.0;0.0;0.0;0.018518518518518517;0.05555555555555555;0.027777777777777776;0.018518518518518517;0.018518518518518517;0.0;0.0;0.046296296296296294;0.037037037037037035;0.0;0.1388888888888889;0.08333333333333333;0.009259259259259259;0.037037037037037035;0.06481481481481481;0.0;0.0;0.027777777777777776;0.046296296296296294;0.037037037037037035;0.0;0.0
et_wikipedia_org.ela_467359;0.2403846153846154;0.08653846153846154;0.08653846153846154;0.038461538461538464;0.0;0.038461538461538464;0.028846153846153848;0.028846153846153848;0.019230769230769232;0.038461538461538464;0.14423076923076922;0.0;0.10576923076923077;0.009615384615384616;0.75;5.25;26.0;0.625;0.44;0.028846153846153848;0.0;0.0;0.0;0.009615384615384616;0.10576923076923077;0.009615384615384616;0.0;0.0;0.07692307692307693;0.0673076923076923;1.125;0.04807692307692308;0.0;0.0;0.028846153846153848;0.0;0.019230769230769232;0.09615384615384616;0.08653846153846154;0.0;0.0;0.0;0.009615384615384616;0.20192307692307693;0.1346153846153846;0.04807692307692308;0.0;0.009615384615384616;0.019230769230769232;0.038461538461538464;0.009615384615384616;0.0;0.019230769230769232;0.0;0.0;0.009615384615384616;0.04807692307692308;0.04807692307692308;0.038461538461538464;0.009615384615384616;0.028846153846153848;0.0;0.0;0.019230769230769232;0.04807692307692308;0.009615384615384616;0.11538461538461539;0.11538461538461539;0.028846153846153848;0.028846153846153848;0.038461538461538464;0.019230769230769232;0.0;0.04807692307692308;0.038461538461538464;0.038461538461538464;0.0;0.0
www_vorumaateataja_ee.ela_494965;0.29936305732484075;0.08280254777070063;0.03821656050955414;0.08280254777070063;0.0;0.025477707006369428;0.025477707006369428;0.050955414012738856;0.012738853503184714;0.025477707006369428;0.1337579617834395;0.0;0.05732484076433121;0.0;0.7388535031847133;5.3312101910828025;22.43;0.5031847133757962;0.19148936170212766;0.025477707006369428;0.006369426751592357;0.0;0.0;0.0;0.12101910828025478;0.01910828025477707;0.0;0.0;0.07643312101910828;0.09554140127388536;1.2307692307692308;0.03821656050955414;0.006369426751592357;0.012738853503184714;0.025477707006369428;0.0;0.09554140127388536;0.03184713375796178;0.09554140127388536;0.006369426751592357;0.0;0.0;0.01910828025477707;0.17197452229299362;0.12738853503184713;0.07006369426751592;0.012738853503184714;0.01910828025477707;0.03184713375796178;0.012738853503184714;0.03184713375796178;0.0;0.006369426751592357;0.0;0.006369426751592357;0.0;0.006369426751592357;0.05732484076433121;0.01910828025477707;0.012738853503184714;0.012738853503184714;0.012738853503184714;0.0;0.05732484076433121;0.025477707006369428;0.012738853503184714;0.12738853503184713;0.08280254777070063;0.012738853503184714;0.025477707006369428;0.044585987261146494;0.03821656050955414;0.0;0.025477707006369428;0.025477707006369428;0.025477707006369428;0.0;0.0
www_alphagis_ee.ela_403490;0.32142857142857145;0.11734693877551021;0.17346938775510204;0.05612244897959184;0.0;0.04591836734693878;0.00510204081632653;0.02040816326530612;0.01020408163265306;0.025510204081632654;0.10204081632653061;0.0;0.015306122448979591;0.08163265306122448;0.7602040816326531;6.688775510204081;15.08;0.5714285714285714;0.047619047619047616;0.01020408163265306;0.0;0.0;0.0;0.0;0.09183673469387756;0.015306122448979591;0.0;0.0;0.07142857142857142;0.025510204081632654;1.0769230769230769;0.030612244897959183;0.0;0.0;0.03571428571428571;0.0;0.09183673469387756;0.015306122448979591;0.0663265306122449;0.0;0.00510204081632653;0.0;0.0;0.20408163265306123;0.20918367346938777;0.0663265306122449;0.015306122448979591;0.02040816326530612;0.0;0.0;0.01020408163265306;0.0;0.030612244897959183;0.0;0.0;0.0;0.025510204081632654;0.05102040816326531;0.00510204081632653;0.015306122448979591;0.0;0.0;0.0;0.07653061224489796;0.04591836734693878;0.015306122448979591;0.07653061224489796;0.1683673469387755;0.02040816326530612;0.025510204081632654;0.08163265306122448;0.00510204081632653;0.0;0.00510204081632653;0.061224489795918366;0.04591836734693878;0.0;0.0
www_lapsemure_ee.ela_140896;0.1527777777777778;0.027777777777777776;0.004629629629629629;0.11574074074074074;0.0;0.037037037037037035;0.041666666666666664;0.05092592592592592;0.05092592592592592;0.004629629629629629;0.10648148148148148;0.0;0.19907407407407407;0.0;0.6157407407407407;4.5092592592592595;21.6;0.33796296296296297;1.303030303030303;0.023148148148148147;0.009259259259259259;0.10648148148148148;0.0;0.05092592592592592;0.18518518518518517;0.0;0.041666666666666664;0.004629629629629629;0.09259259259259259;0.08333333333333333;3.6666666666666665;0.009259259259259259;0.0;0.032407407407407406;0.0;0.0;0.05555555555555555;0.09722222222222222;0.14814814814814814;0.0;0.004629629629629629;0.0;0.013888888888888888;0.19907407407407407;0.10648148148148148;0.06481481481481481;0.032407407407407406;0.013888888888888888;0.0;0.004629629629629629;0.018518518518518517;0.0;0.004629629629629629;0.0;0.0;0.0;0.023148148148148147;0.09722222222222222;0.027777777777777776;0.027777777777777776;0.0;0.0;0.0;0.05092592592592592;0.046296296296296294;0.041666666666666664;0.08796296296296297;0.06018518518518518;0.0;0.009259259259259259;0.009259259259259259;0.018518518518518517;0.0;0.023148148148148147;0.06944444444444445;0.037037037037037035;0.0;0.0
www_maaleht_ee.ela_246360;0.2809917355371901;0.0743801652892562;0.10743801652892562;0.08264462809917356;0.0;0.01652892561983471;0.049586776859504134;0.008264462809917356;0.024793388429752067;0.01652892561983471;0.1322314049586777;0.0;0.01652892561983471;0.008264462809917356;0.7272727272727273;6.008264462809917;17.29;0.5950413223140496;0.058823529411764705;0.0;0.008264462809917356;0.0;0.0;0.01652892561983471;0.17355371900826447;0.008264462809917356;0.0;0.0;0.09917355371900827;0.049586776859504134;2.2857142857142856;0.008264462809917356;0.0;0.01652892561983471;0.03305785123966942;0.0;0.0743801652892562;0.09090909090909091;0.1322314049586777;0.0;0.0;0.0;0.03305785123966942;0.15702479338842976;0.06611570247933884;0.06611570247933884;0.01652892561983471;0.049586776859504134;0.024793388429752067;0.024793388429752067;0.049586776859504134;0.0;0.01652892561983471;0.0;0.0;0.008264462809917356;0.01652892561983471;0.09917355371900827;0.01652892561983471;0.03305785123966942;0.0;0.0;0.008264462809917356;0.04132231404958678;0.04132231404958678;0.01652892561983471;0.12396694214876033;0.09090909090909091;0.008264462809917356;0.01652892561983471;0.04132231404958678;0.01652892561983471;0.0;0.01652892561983471;0.01652892561983471;0.01652892561983471;0.0;0.0
